"num";"name";"slug";"uri";"name_russian";"name_kazakh";"user_russian";"user_kazakh";"duration_russian";"duration_kazakh";"scenes_russian";"scenes_kazakh";"completed_russian";"completed_kazakh";"voice_russian";"voice_kazakh";"celebrity_house";"program_no";"num_in_program";"comp_russian";"comp_kazakh";"mix_russian";"mix_kazakh";"seq_russian";"seq_kazakh"
"130";"Густав Кирхгоф";"gustav-kirhgof";"http://aroslanov.com/api/celebrity/gustav-kirhgof";"Густав Кирхгоф";"";"Лия Будиянская";"";"80483";"0";"8";"0";"false";"false";"0";"0";"";"";"";"";"";"";"";"";""
"131";"Гюстав Гаспар Кориолис";"gyustav-gaspar-koriolis";"http://aroslanov.com/api/celebrity/gyustav-gaspar-koriolis";"Гюстав Гаспар Кориолис";"";"Наталья Няшина";"";"82082";"0";"8";"0";"true";"false";"0";"0";"";"";"";"";"";"";"";"";""
"132";"Гюстав Флобер";"gyustav-flober";"http://aroslanov.com/api/celebrity/gyustav-flober";"Гюстав Флобер";"";"Наталья Няшина";"";"79950";"0";"8";"0";"true";"false";"0";"0";"";"";"";"";"";"";"";"";""
"133";"Давид Гильберт";"david-gilbert";"http://aroslanov.com/api/celebrity/david-gilbert";"Давид Гильберт";"";"Лия Будиянская";"Майра Тургинбаева";"82082";"79950";"8";"8";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
"134";"Даниель Дефо ";"daniel-defo";"http://aroslanov.com/api/celebrity/daniel-defo";"Даниель Дефо";"";"Ирина Староверова";"";"78351";"0";"8";"0";"true";"false";"0";"0";"";"";"";"";"";"";"";"";""
"135";"Даниил Бернулли";"daniil-bernulli";"http://aroslanov.com/api/celebrity/daniil-bernulli";"Даниил Бернулли";"";"Сергей Ким";"";"78351";"0";"8";"0";"true";"false";"0";"0";"";"";"";"";"";"";"";"";""
"136";"Данте Алигьери";"dante-aligeri";"http://aroslanov.com/api/celebrity/dante-aligeri";"Данте Алигьери";"";"Сергей Ким";"Зоя Койшыбаева";"81549";"78884";"8";"8";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
"137";"Демокрит";"demokrit";"http://aroslanov.com/api/celebrity/demokrit";"Демокрит";"";"Лия Будиянская";"Майра Тургинбаева";"82082";"82082";"8";"8";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
"138";"Демосфен";"demosfen";"http://aroslanov.com/api/celebrity/demosfen";"Демосфен";"";"Наталья Няшина";"";"81549";"0";"8";"0";"true";"false";"0";"0";"";"";"";"";"";"";"";"";""
"139";"Дени Папен";"deni-papen";"http://aroslanov.com/api/celebrity/deni-papen";"Дени Папен";"";"Ирина Староверова";"Майра Тургинбаева";"79950";"81549";"9";"9";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
"140";"Денис Давыдов";"denis-davydov";"http://aroslanov.com/api/celebrity/denis-davydov";"Денис Давыдов";"";"Сергей Ким";"";"82082";"0";"8";"0";"true";"false";"0";"0";"";"";"";"";"";"";"";"";""
"141";"Джакомо  Пуччини";"dzhakomo-puchchini";"http://aroslanov.com/api/celebrity/dzhakomo-puchchini";"Джакомо  Пуччини";"";"Ирина Староверова";"Майра Тургинбаева";"77285";"77285";"8";"8";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
